birth_place,count,color
France,99,#000091
Netherlands,67,#FF9B00
Germany,49,#FFCE00
England,48,#FFFFFF
Sweden,36,#006AA7
Spain,36,E60026
Belgium,36,#000000
Austria,31,#EF3340
Argentina,31,#6CACE4
Switzerland,29,#DA291C
Brazil,29,#009440
United States,29,#0A3161
Portugal,28,#046A38
Colombia,27,#FFCD00
Egypt,27,#C09300
Saudi Arabia,27,#005430
Czech Republic,26,#11457E
South Africa,26,#FFB612
Norway,26,#00205B
Uruguay,26,#7B3F00
Uzbekistan,26,#0072CE
Japan,25,#BC002D
Panama,25,#DA121A
South Korea,25,#0F64CD
Iran,24,#239F40
Ecuador,23,#0072CE
Canada,23,#D80621
Jordan,23,#007A3D
Mexico,22,#006847
Paraguay,21,#FEDF00
Asia-Pacific,0,#FABFD2
Australia,20,#FABFD2
New Zealand,20,#FABFD2
Iraq,18,#FABFD2
Qatar,14,#FABFD2
Kazakhstan,1,#FABFD2
Africa,0,#b07AA1
Ghana,20,#b07AA1
Ivory Coast,19,#b07AA1
Senegal,17,#b07AA1
Tunisia,12,#b07AA1
Cape Verde,12,#b07AA1
Algeria,11,#b07AA1
Morocco,7,#b07AA1
Democratic Republic of the Congo,6,#b07AA1
Sudan,2,#b07AA1
Cameroon,2,#b07AA1
Burkina Faso,1,#b07AA1
Tanzania,1,#b07AA1
Kenya,1,#b07AA1
Nigeria,1,#b07AA1
Zambia,1,#b07AA1
Republic of the Congo,1,#b07AA1
Europe,0,#9c755f
Scotland,22,#9c755f
Croatia,17,#9c755f
Turkey,16,#9c755f
Bosnia and Herzegovina,14,#9c755f
Italy,3,#9c755f
Denmark,3,#9c755f
Slovenia,2,#9c755f
Ireland,1,#9c755f
Wales,1,#9c755f
Serbia,1,#9c755f
Isle of Man,1,#9c755f
Carribean,0,#86BCB6
Haiti,9,#86BCB6
Curaçao,1,#86BCB6
Guinea,1,#86BCB6
