team_name,player_name,birth_country,citizenship,representing,data_complete
Algeria,Achref Abada,Algeria,Algeria,Algeria,TRUE
Algeria,Adil Boulbina,Algeria,,Algeria,FALSE
Algeria,Aïssa Mandi,France,Algeria,Algeria,TRUE
Algeria,Amine Gouiri,France,Algeria; France,Algeria,TRUE
Algeria,Anis Hadj Moussa,France,Algeria,Algeria,TRUE
Algeria,Farès Chaïbi,France,Algeria; France,Algeria,TRUE
Algeria,Farès Ghedjemis,France,,Algeria,FALSE
Algeria,Hicham Boudaoui,Algeria,Algeria,Algeria,TRUE
Algeria,Houssem Aouar,France,Algeria; France,Algeria,TRUE
Algeria,Ibrahim Maza,Germany,Algeria; Germany,Algeria,TRUE
Algeria,Jaouen Hadjam,France,Algeria; France,Algeria,TRUE
Algeria,Luca Zidane,France,Algeria; France,Algeria,TRUE
Algeria,Melvin Mastil,France,Algeria; France,Algeria,TRUE
Algeria,Mohamed Amine Tougai,Algeria,,Algeria,FALSE
Algeria,Mohamed Amoura,Algeria,Algeria; Belgium; Switzerland,Algeria,TRUE
Algeria,Nabil Bentaleb,France,Algeria; France,Algeria,TRUE
Algeria,Nadhir Benbouali,Algeria,,Algeria,FALSE
Algeria,Oussama Benbot,Algeria,Algeria,Algeria,TRUE
Algeria,Rafik Belghali,Belgium,Belgium,Algeria,TRUE
Algeria,Ramiz Zerrouki,Netherlands,Algeria; Kingdom of the Netherlands,Algeria,TRUE
Algeria,Ramy Bensebaini,Algeria,Algeria,Algeria,TRUE
Algeria,Rayan Aït-Nouri,France,Algeria; France,Algeria,TRUE
Algeria,Riyad Mahrez,France,,Algeria,FALSE
Algeria,Samir Chergui,France,Algeria,Algeria,TRUE
Algeria,Yacine Titraoui,Algeria,Algeria,Algeria,TRUE
Algeria,Zineddine Belaïd,Algeria,Algeria,Algeria,TRUE
Argentina,Alexis Mac Allister,Argentina,Argentina,Argentina,TRUE
Argentina,Cristian Romero,Argentina,Argentina,Argentina,TRUE
Argentina,Emiliano Martínez,Argentina,Argentina,Argentina,TRUE
Argentina,Enzo Fernández,Argentina,,Argentina,FALSE
Argentina,Exequiel Palacios,Argentina,Argentina,Argentina,TRUE
Argentina,Facundo Medina,Argentina,Argentina,Argentina,TRUE
Argentina,Gerónimo Rulli,Argentina,Argentina,Argentina,TRUE
Argentina,Giovani Lo Celso,Argentina,Argentina; Italy,Argentina,TRUE
Argentina,Giuliano Simeone,Italy,,Argentina,FALSE
Argentina,Gonzalo Montiel,Argentina,Argentina,Argentina,TRUE
Argentina,José Manuel López,Argentina,Argentina,Argentina,TRUE
Argentina,Juan Musso,Argentina,,Argentina,FALSE
Argentina,Julián Alvarez,Argentina,Argentina,Argentina,TRUE
Argentina,Lautaro Martínez,Argentina,Argentina,Argentina,TRUE
Argentina,Leandro Paredes,Argentina,Argentina,Argentina,TRUE
Argentina,Lionel Messi,Argentina,Argentina; Italy; Spain,Argentina,TRUE
Argentina,Lisandro Martínez,Argentina,,Argentina,FALSE
Argentina,Marcos Senesi,Argentina,Argentina,Argentina,TRUE
Argentina,Nahuel Molina,Argentina,Argentina,Argentina,TRUE
Argentina,Nico Paz,Spain,Argentina; Spain,Argentina,TRUE
Argentina,Nicolás González,Argentina,Argentina,Argentina,TRUE
Argentina,Nicolás Otamendi,Argentina,Argentina,Argentina,TRUE
Argentina,Nicolás Tagliafico,Argentina,Argentina,Argentina,TRUE
Argentina,Rodrigo De Paul,Argentina,Argentina; Italy,Argentina,TRUE
Argentina,Thiago Almada,Argentina,Argentina,Argentina,TRUE
Argentina,Valentín Barco,Argentina,Argentina,Argentina,TRUE
Australia,Aiden O'Neill,Australia,,Australia,FALSE
Australia,Ajdin Hrustic,Australia,,Australia,FALSE
Australia,Alessandro Circati,Italy,Australia; Italy,Australia,TRUE
Australia,Awer Mabil,Kenya,Australia,Australia,TRUE
Australia,Aziz Behich,Australia,Australia,Australia,TRUE
Australia,Cameron Burgess,Scotland,,Australia,FALSE
Australia,Cammy Devlin,Australia,Australia,Australia,TRUE
Australia,Connor Metcalfe,Australia,Australia,Australia,TRUE
Australia,Cristian Volpato,Australia,Australia; Italy,Australia,TRUE
Australia,Harry Souttar,Scotland,,Australia,FALSE
Australia,Jackson Irvine,Australia,Australia,Australia,TRUE
Australia,Jacob Italiano,Australia,Australia,Australia,TRUE
Australia,Jason Geria,Australia,Australia,Australia,TRUE
Australia,Jordan Bos,Australia,Australia,Australia,TRUE
Australia,Kai Trewin,Australia,Australia,Australia,TRUE
Australia,Lucas Herrington,Australia,Australia,Australia,TRUE
Australia,Mathew Leckie,Australia,,Australia,FALSE
Australia,Mathew Ryan,Australia,Australia,Australia,TRUE
Australia,Miloš Degenek,Croatia,Australia,Australia,TRUE
Australia,Mohamed Touré,Guinea,Australia; Guinea,Australia,TRUE
Australia,Nestory Irankunda,Tanzania,,Australia,FALSE
Australia,Nishan Velupillay,Australia,Australia,Australia,TRUE
Australia,Patrick Beach,Australia,Australia,Australia,TRUE
Australia,Paul Izzo,Australia,Australia,Australia,TRUE
Australia,Paul Okon-Engstler,Belgium,Australia; Italy,Australia,TRUE
Australia,Tete Yengi,Australia,Australia,Australia,TRUE
Austria,Alessandro Schöpf,Austria,Austria,Austria,TRUE
Austria,Alexander Prass,Austria,,Austria,FALSE
Austria,Alexander Schlager,Austria,Austria,Austria,TRUE
Austria,Carney Chukwuemeka,Austria,Austria,Austria,TRUE
Austria,David Affengruber,Austria,,Austria,FALSE
Austria,David Alaba,Austria,Austria,Austria,TRUE
Austria,Dejan Ljubičić,Austria,,Austria,FALSE
Austria,Florian Grillitsch,Austria,Austria,Austria,TRUE
Austria,Florian Wiegele,Austria,Austria,Austria,TRUE
Austria,Kevin Danso,Austria,Austria,Austria,TRUE
Austria,Konrad Laimer,Austria,Austria,Austria,TRUE
Austria,Marcel Sabitzer,Austria,Austria,Austria,TRUE
Austria,Marco Friedl,Austria,Austria,Austria,TRUE
Austria,Marko Arnautović,Austria,Austria,Austria,TRUE
Austria,Michael Gregoritsch,Austria,,Austria,FALSE
Austria,Michael Svoboda,Austria,Austria,Austria,TRUE
Austria,Nicolas Seiwald,Austria,Austria,Austria,TRUE
Austria,Patrick Pentz,Austria,,Austria,FALSE
Austria,Patrick Wimmer,Austria,Austria,Austria,TRUE
Austria,Paul Wanner,Austria,Austria; Germany,Austria,TRUE
Austria,Philipp Lienhart,Austria,,Austria,FALSE
Austria,Phillipp Mwene,Austria,Austria,Austria,TRUE
Austria,Romano Schmid,Austria,Austria,Austria,TRUE
Austria,Saša Kalajdžić,Austria,Austria,Austria,TRUE
Austria,Stefan Posch,Austria,Austria,Austria,TRUE
Austria,Xaver Schlager,Austria,Austria,Austria,TRUE
Belgium,Alexis Saelemaekers,Belgium,Belgium,Belgium,TRUE
Belgium,Amadou Onana,Senegal,Belgium,Belgium,TRUE
Belgium,Arthur Theate,Belgium,Belgium,Belgium,TRUE
Belgium,Axel Witsel,Belgium,Belgium,Belgium,TRUE
Belgium,Brandon Mechele,Belgium,,Belgium,FALSE
Belgium,Charles De Ketelaere,Belgium,,Belgium,FALSE
Belgium,Diego Moreira,Belgium,Belgium; Portugal,Belgium,TRUE
Belgium,Dodi Lukébakio,Belgium,Belgium,Belgium,TRUE
Belgium,Hans Vanaken,Belgium,Belgium,Belgium,TRUE
Belgium,Jérémy Doku,Belgium,Belgium,Belgium,TRUE
Belgium,Joaquin Seys,Belgium,Belgium,Belgium,TRUE
Belgium,Kevin De Bruyne,Belgium,Belgium,Belgium,TRUE
Belgium,Koni De Winter,Belgium,Belgium,Belgium,TRUE
Belgium,Leandro Trossard,Belgium,Belgium,Belgium,TRUE
Belgium,Matias Fernandez-Pardo,Belgium,,Belgium,FALSE
Belgium,Maxim De Cuyper,Belgium,,Belgium,FALSE
Belgium,Mike Penders,Belgium,Belgium,Belgium,TRUE
Belgium,Nathan Ngoy,Belgium,Belgium,Belgium,TRUE
Belgium,Nicolas Raskin,Belgium,,Belgium,FALSE
Belgium,Romelu Lukaku,Belgium,,Belgium,FALSE
Belgium,Senne Lammens,Belgium,Belgium,Belgium,TRUE
Belgium,Thibaut Courtois,Belgium,Belgium,Belgium,TRUE
Belgium,Thomas Meunier,Belgium,Belgium,Belgium,TRUE
Belgium,Timothy Castagne,Belgium,Belgium,Belgium,TRUE
Belgium,Youri Tielemans,Belgium,,Belgium,FALSE
Belgium,Zeno Debast,Belgium,Belgium,Belgium,TRUE
Bosnia and Herzegovina,Amar Dedić,Austria,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Amar Memić,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Amir Hadžiahmetović,Denmark,,Bosnia and Herzegovina,FALSE
Bosnia and Herzegovina,Arjan Malić,Slovenia,Bosnia and Herzegovina; Slovenia,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Armin Gigović,Sweden,Bosnia and Herzegovina; Sweden,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Benjamin Tahirović,Sweden,Bosnia and Herzegovina; Sweden,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Dennis Hadžikadunić,Sweden,Bosnia and Herzegovina; Sweden,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Dženis Burnić,Germany,Bosnia and Herzegovina; Germany,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Edin Džeko,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Ermedin Demirović,Bosnia and Herzegovina,,Bosnia and Herzegovina,FALSE
Bosnia and Herzegovina,Ermin Mahmić,Austria,Austria; Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Esmir Bajraktarević,United States,Bosnia and Herzegovina; United States,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Haris Tabaković,Switzerland,Bosnia and Herzegovina; Switzerland,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Ivan Bašić,Croatia,Bosnia and Herzegovina; Croatia,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Ivan Šunjić,Bosnia and Herzegovina,Bosnia and Herzegovina; Croatia,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Jovo Lukić,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Kerim Alajbegović,Germany,,Bosnia and Herzegovina,FALSE
Bosnia and Herzegovina,Martin Zlomislić,Bosnia and Herzegovina,Bosnia and Herzegovina; Croatia,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Mladen Jurkas,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Nihad Mujakić,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Nikola Katić,Bosnia and Herzegovina,,Bosnia and Herzegovina,FALSE
Bosnia and Herzegovina,Nikola Vasilj,Bosnia and Herzegovina,,Bosnia and Herzegovina,FALSE
Bosnia and Herzegovina,Samed Baždar,Serbia,Bosnia and Herzegovina; Serbia,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Sead Kolašinac,Germany,Bosnia and Herzegovina; Germany,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Stjepan Radeljić,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Bosnia and Herzegovina,Tarik Muharemović,Slovenia,Bosnia and Herzegovina; Slovenia,Bosnia and Herzegovina,TRUE
Brazil,Alex Sandro,Brazil,,Brazil,FALSE
Brazil,Alisson,Brazil,Brazil,Brazil,TRUE
Brazil,Bremer,Brazil,,Brazil,FALSE
Brazil,Bruno Guimarães,Brazil,,Brazil,FALSE
Brazil,Casemiro,Brazil,Brazil; Spain; United Kingdom,Brazil,TRUE
Brazil,Danilo Luiz,Brazil,,Brazil,FALSE
Brazil,Danilo Santos,Brazil,Brazil,Brazil,TRUE
Brazil,Douglas Santos,Brazil,,Brazil,FALSE
Brazil,Ederson Moraes,Brazil,Brazil; Portugal,Brazil,TRUE
Brazil,Éderson Silva,Brazil,Brazil,Brazil,TRUE
Brazil,Endrick,Brazil,Brazil,Brazil,TRUE
Brazil,Fabinho,Brazil,Brazil,Brazil,TRUE
Brazil,Gabriel Magalhães,Brazil,Brazil,Brazil,TRUE
Brazil,Gabriel Martinelli,Brazil,Brazil,Brazil,TRUE
Brazil,Igor Thiago,Brazil,Brazil,Brazil,TRUE
Brazil,Léo Pereira,Brazil,Brazil,Brazil,TRUE
Brazil,Lucas Paquetá,Brazil,Brazil,Brazil,TRUE
Brazil,Luiz Henrique,Brazil,,Brazil,FALSE
Brazil,Marquinhos,Brazil,,Brazil,FALSE
Brazil,Matheus Cunha,Brazil,,Brazil,FALSE
Brazil,Neymar,Brazil,Brazil,Brazil,TRUE
Brazil,Raphinha,Brazil,Brazil,Brazil,TRUE
Brazil,Rayan,Brazil,Brazil,Brazil,TRUE
Brazil,Roger Ibañez,Brazil,,Brazil,FALSE
Brazil,Vinícius Júnior,Brazil,Brazil; Spain,Brazil,TRUE
Brazil,Weverton,Brazil,Brazil,Brazil,TRUE
Canada,Alfie Jones,England,United Kingdom,Canada,TRUE
Canada,Ali Ahmed,Canada,Canada,Canada,TRUE
Canada,Alistair Johnston,Canada,Canada,Canada,TRUE
Canada,Alphonso Davies,Ghana,Canada; Liberia,Canada,TRUE
Canada,Cyle Larin,Canada,,Canada,FALSE
Canada,Dayne St. Clair,Canada,Canada,Canada,TRUE
Canada,Derek Cornelius,Canada,Canada; Jamaica,Canada,TRUE
Canada,Ismaël Koné,Ivory Coast,,Canada,FALSE
Canada,Jacob Shaffelburg,Canada,Canada,Canada,TRUE
Canada,Jayden Nelson,Canada,,Canada,FALSE
Canada,Joel Waterman,Canada,,Canada,FALSE
Canada,Jonathan David,United States,Canada; United States,Canada,TRUE
Canada,Jonathan Osorio,Canada,,Canada,FALSE
Canada,Liam Millar,Canada,Canada,Canada,TRUE
Canada,Luc de Fougerolles,England,Canada; United Kingdom,Canada,TRUE
Canada,Mathieu Choinière,Canada,,Canada,FALSE
Canada,Maxime Crépeau,Canada,Canada,Canada,TRUE
